,collocate,raw_frequency,MI
777,checking,58,2.998717520989574
778,extravagances,33,3.5626529700695126
779,proclaiming,31,3.6251733270508466
780,extinguished,138,2.1319068463787882
781,drawn,1259,1.0196997861597557
782,possessed,810,0.3621262838695086
783,time,21558,0.546394177994146
784,boy,6016,1.247354423802482
785,can,22494,0.4393540272341813
786,taking,2926,1.2749935272921429
787,urbane,27,3.7633236655316638
788,bearing,802,1.7583462847893692
789,fixed,1465,0.4626971906447706
790,regard,1077,0.7703730349395498
791,accused,186,2.526561038382737
792,blonde,75,2.7416724179996828
793,corrected,108,2.3770293044117734
794,repeated,1670,2.123488275913193
795,leading,813,1.457041710656292
796,joined,660,1.9532150576354124
797,fenced,47,3.90216011038588
798,admitting,78,2.702451704846401
799,try,2428,1.0560968485846591
800,confidently,73,2.768701090387602
801,position,2445,0.8667980420611211
802,replied,3976,1.949182794107474
803,shrugged,235,2.2927221979517793
804,loss,920,1.3333991501610167
805,assured,640,1.6963046438503853
806,stools,40,3.3702810774220566
807,remarked,1005,2.4490028040368625
808,touch,1705,0.3109873223783213
809,depute,5,5.449722619101893
810,get,8536,0.8974844964505686
811,xl,40,3.3702810774220566
812,meeting,1264,1.526561869263291
813,period,603,0.6572433348088076
814,termed,75,3.434819598559628
815,ask,4715,1.691698789826751
816,alighted,132,2.1763586089496223
817,advances,106,2.395721437423926
818,door,8579,0.3046729889570735
819,swept,536,1.4681735510251364
820,direct,540,0.7675913919776731
821,intercept,33,3.5626529700695126
822,together,5302,0.9682277944750226
823,conveying,55,3.051827346303522
824,grand,1368,1.7839655824088105
825,fail,572,0.7100215401561953
826,describing,109,2.3678126493068494
827,manner,3897,0.7371083752525972
828,ball,649,1.2768749953918486
829,roderick,780,0.3998666118523556
830,lofty,307,1.3323127839487958
831,press,589,1.7793466365525161
832,legal,342,1.2243497944733879
833,unrestricted,3,5.960548242867883
834,evidently,1145,1.4022949766675437
835,malady,113,2.3317727128236525
836,surrendered,73,2.768701090387602
837,reputation,478,0.889549799044537
838,persuading,60,3.657963149873838
839,repeatedly,86,2.6048132352824855
840,cut,1977,1.0792626207994767
841,yourself,3430,0.5282829038101078
842,haunch,11,4.661265258737623
843,bags,142,2.1033334739347325
